id,street_id,activity,task_description,status,street,start_year,stop_date_actual,route_ahead,route_back
1718126690,3780,"Mill & Overlay - 2""",,Completed,BIDWELL ST,2012,2012-05-22,HAMLIN ST,W NORTH AVE
1398241136,14383,AC Overlay 3 or more,,Completed,HENLEY ST,2013,2013-10-10,SMITHTON AVE,GRAND AVE
1978757708,6779,Mill & Overlay 3 or More,,Completed,THIELMAN AVE,2010,2010-06-24,OAKHURST ST,WESTMONT AVE
1434405759,13887,"Mill & Overlay - 2""",,Completed,MOREWOOD AVE,2012,2012-06-02,FORBES AVE,MOREWOOD PL
1183037642,6119,Mill & Overlay 3 or More,,Completed,CAMBRONNE ST,2013,2013-04-18,WINHURST ST,CHELLIS ST
2007768209,19043,"Mill & Overlay - 2""",,Completed,MURRAY AVE,2012,2012-05-15,FLEMINGTON ST,BURCHFIELD AVE
1380181137,141,"Mill & Overlay - 2""",,Completed,OAKRIDGE ST,2012,2012-11-20,WAREMAN AVE,YOLA WAY
1004169106,14978,"Mill & Overlay - 2""",,Completed,PRESTON ST,2012,2012-07-27,CROTZER AVE,MILNOR ST
695150363,12510,"AC Overlay - 2""",,Completed,WOODLOW ST,2012,2012-07-30,STEUBEN ST,CRUCIBLE ST
1114401852,3182,"Mill & Overlay - 2""",,Completed,PEMBERTON ST,2012,2012-10-15,BRIGHTON RD,WAPELLO ST
367527527,10928,AC Overlay 3 or more,,Completed,MONTEREY ST,2014,2014-07-03,N TAYLOR AVE,ELOISE ST
1336148883,6916,Mill & Overlay 3 or More,,Completed,CHISLETT ST,2014,2014-06-26,HAYS ST,SAMOAN WAY
1975897558,19471,"Mill & Overlay - 2""",,Completed,FIFTH AVE,2014,2014-06-23,IVY ST,MAPLE HEIGHTS RD
1333459696,1893,"AC Overlay - 2""",,Completed,MOOSE WAY,2012,2012-09-04,DEAD END,ALMA ST
24238548,51,"Mill & Overlay - 2""",,Completed,OAKRIDGE ST,2012,2012-11-20,BREINING ST,MERRICK AVE
1392967007,13237,"Mill & Overlay - 2""",,Completed,W CIRCUIT RD,2012,2012-09-06,E CIRCUIT RD,SCHENLEY DR
1050599179,12995,Mill & Overlay 3 or More,,Completed,BIGELOW BLVD,2012,2012-06-05,FIFTH AVE,FORBES AVE
1234563657,10625,"Mill & Overlay - 2""",,Completed,PERRYSVILLE AVE,2012,2012-05-17,N CHARLES ST,KENWOOD AVE
1244697687,15901,Mill & Overlay 3 or More,,Completed,BAYARD ST,2014,2014-06-05,MOREWOOD AVE,COVENTRY RD
174486304,10922,AC Overlay 3 or more,,Completed,BRIGHTRIDGE ST,2012,2012-10-10,N CHARLES ST,IRWIN AVE
1802672793,17484,Mill & Overlay 3 or More,,Completed,KELLY ST,2012,2012-05-04,HALE ST,NEUMAN WAY
1951001845,4883,"Mill & Overlay - 2""",,Completed,BAYARD ST,2012,2012-05-24,N DITHRIDGE ST,N BELLEFIELD AVE
1565655129,18296,Mill & Overlay 3 or More,,Completed,SOUTHERN AVE,2013,2013-05-21,COWAN ST,PROSPECT ST
1347890751,386,Mill & Overlay 3 or More,,Completed,PAULSON AVE,2014,2014-09-01,ARBOR WAY,APPLE AVE
1805357158,10435,Mill & Overlay 3 or More,,Completed,CHARTIERS AVE,2013,2013-05-29,BUCYRUS ST,WILNA WAY
1434189407,8391,Mill & Overlay 3 or More,,Completed,SPRING WAY,2012,2012-07-05,27TH ST,26TH ST
2053724272,4489,AC Overlay 3 or more,,Completed,IRWIN AVE,2011,2011-10-10,W BURGESS ST,CHAUTAUQUA CT
1240878577,5952,AC Overlay 3 or more,,Completed,PAYNE WAY,2013,2013-10-10,PARNASSUS WAY,LORENZ AVE
1197472787,10419,"Mill & Overlay - 2""",,Completed,PLUMMER ST,2012,2012-08-21,LOCARNA WAY,44TH ST
858862690,16888,Mill & Overlay 3 or More,,Completed,CLAIRTONIC ST,2013,2013-05-31,ELMONT ST,STRATMORE ST
499199805,4437,"Mill & Overlay - 2""",,Completed,MARY ST,2012,2012-07-24,S 20TH ST,S 19TH ST
989474261,12344,AC Overlay 3 or more,,Completed,GREELEY ST,2015,2015-04-28,GOMER ST,JOSEPHINE ST
1221366858,14443,Mill & Overlay 3 or More,,Completed,MCCANDLESS AVE,2013,2013-08-27,STANTON AVE,56TH ST
1340460458,13692,Mill & Overlay 3 or More,,Completed,GERTRUDE ST,2013,2013-09-17,E ELIZABETH ST,VEGA WAY
312806020,17277,Mill & Overlay 3 or More,,Completed,THEONA ST,2012,2012-08-17,WYNOKA ST,BEXAR WAY
1068491711,13538,AC Overlay 3 or more,,Completed,CRAFTMONT AVE,2011,2011-10-10,DURBIN ST,TARNER ST
1297388275,18795,Mill & Overlay 3 or More,,Completed,BRIGHTON RD,2012,2012-05-21,N TAYLOR AVE,OFFLEY WAY
1443558719,3695,"AC Overlay - 2""",,Completed,CHARTIERS AVE,2013,2013-08-23,WARFLE ST,SUTER ST
1204971490,1710,Mill & Overlay 3 or More,,Completed,ALLENDER AVE,2011,2011-09-12,HAYSON AVE,OAK MANOR DR
1283792552,1136,Mill & Overlay 3 or More,,Completed,S HIGHLAND AVE,2013,2013-09-16,ELWOOD ST,ALDER ST
1363717806,15076,AC Overlay 3 or more,,Completed,TERMON AVE,2011,2011-10-10,ELMHURST AVE,CALIFORNIA AVE
1763971557,17276,Mill & Overlay 3 or More,,Completed,LINNVIEW AVE,2010,2010-08-31,AMANDA ST,BROWNSVILLE RD
344668373,15087,"Mill & Overlay - 2""",,Completed,KING AVE,2012,2012-10-09,BRYANT ST,BEVERLY PL
1208229719,12559,Mill & Overlay 3 or More,,Completed,CONCORDIA ST,2012,2012-07-26,CRAILO AVE,MEREDITH ST
1878320734,9116,Mill & Overlay 3 or More,,Completed,CHURCHVIEW AVE,2010,2010-06-25,SANKEY AVE,SPENCER AVE
1246016913,2381,Mill & Overlay 3 or More,,Completed,P J MCARDLE RDWY,2012,2012-08-15,S 9TH ST,WINDOM ST
1762626008,10172,Mill & Overlay 3 or More,,Completed,GROSS ST,2014,2014-10-03,LIMA WAY,CYPRESS ST
1345205240,17064,Mill & Overlay 3 or More,,Completed,MAIRDALE AVE,2013,2013-11-15,HEWITT ST,PERRYSVILLE AVE
1928471495,12215,Mill & Overlay 3 or More,,Completed,ROSECREST DR,2012,2012-05-09,SCHENLEY MANOR DR,ROSECREST PL
1230537107,18375,"AC Overlay - 2""",,Completed,PANTHER HOLLOW RD,2014,2014-08-04,WILMOT RD,OVERLOOK DR RAMP
263123445,6703,"Mill & Overlay - 2""",,Completed,VIRUTH ST,2012,2012-05-23,MCCLURE AVE,BENTON AVE
821130506,3948,AC Overlay 3 or more,,Completed,GIDDY WAY,2009,2009-08-07,SPRING GARDEN AVE,FARBY WAY
263993305,17588,Mill & Overlay 3 or More,,Completed,SUNRISE AVE,2013,2013-10-15,REMINGTON DR,LEE WAY
222225920,3516,Mill & Overlay 3 or More,,Completed,N BRADDOCK AVE,2014,2014-04-15,KELLY ST,FORMOSA WAY
1017461338,3026,"Mill & Overlay - 2""",,Completed,KING AVE,2012,2012-10-09,CORDOVA RD,ELGIN ST
2101312544,17865,Mill & Overlay 3 or More,,Completed,CALIFORNIA AVE,2013,2013-05-06,BAINTON ST,FORSYTHE ST
1449387768,6129,"AC Overlay - 2""",,Completed,COMRIE WAY,2014,2014-01-16,S MILLVALE AVE,MARBLE WAY
